iter	Passed	Remaining
0	41	4123
1	81	3976
2	124	4011
3	169	4066
4	212	4030
5	257	4035
6	307	4091
7	353	4069
8	397	4016
9	441	3971
10	483	3915
11	525	3853
12	570	3820
13	612	3764
14	657	3728
15	701	3680
16	743	3629
17	786	3584
18	829	3536
19	873	3492
20	919	3458
21	947	3357
22	988	3307
23	1032	3269
24	1073	3221
25	1116	3179
26	1162	3143
27	1186	3050
28	1234	3021
29	1278	2983
30	1319	2937
31	1359	2889
32	1401	2846
33	1446	2807
34	1488	2763
35	1528	2717
36	1569	2672
37	1608	2624
38	1650	2580
39	1692	2538
40	1733	2494
41	1776	2453
42	1820	2412
43	1860	2368
44	1903	2325
45	1946	2284
46	1988	2241
47	2031	2201
48	2074	2159
49	2113	2113
50	2153	2069
51	2199	2030
52	2241	1987
53	2279	1942
54	2321	1899
55	2364	1857
56	2410	1818
57	2444	1770
58	2484	1726
59	2525	1683
60	2569	1642
61	2615	1603
62	2662	1563
63	2710	1524
64	2756	1484
65	2806	1445
66	2863	1410
67	2913	1370
68	2963	1331
69	3007	1289
70	3055	1248
71	3109	1209
72	3145	1163
73	3194	1122
74	3240	1080
75	3289	1038
76	3340	997
77	3392	956
78	3447	916
79	3494	873
80	3545	831
81	3599	790
82	3621	741
83	3669	698
84	3716	655
85	3767	613
86	3815	570
87	3863	526
88	3914	483
89	3967	440
90	4019	397
91	4069	353
92	4120	310
93	4167	265
94	4214	221
95	4266	177
96	4315	133
97	4367	89
98	4391	44
99	4446	0
