iter	Passed	Remaining
0	204	1020915
1	255	637587
2	312	520362
3	352	440118
4	399	399378
5	446	371633
6	495	353090
7	533	332747
8	581	322428
9	621	310208
10	654	296878
11	703	292500
12	746	286499
13	791	281989
14	854	283967
15	892	277981
16	943	276678
17	990	274155
18	1029	269878
19	1100	273969
20	1131	268337
21	1171	265124
22	1223	264779
23	1269	263290
24	1306	260040
25	1354	259058
26	1404	258657
27	1456	258685
28	1516	259887
29	1552	257171
30	1592	255222
31	1640	254658
32	1683	253417
33	1732	253005
34	1779	252392
35	1820	251034
36	1857	249202
37	1905	248778
38	1953	248544
39	1995	247426
40	2032	245838
41	2084	246069
42	2129	245481
43	2173	244834
44	2223	244820
45	2273	244845
46	2315	243972
47	2361	243634
48	2398	242373
49	2448	242445
50	2496	242257
51	2548	242489
52	2588	241585
53	2631	241006
54	2676	240618
55	2720	240217
56	2775	240655
57	2845	242456
58	2900	242927
59	2939	242010
60	2988	241951
61	3038	241986
62	3080	241367
63	3128	241273
64	3177	241270
65	3221	240801
66	3259	240015
67	3312	240218
68	3356	239872
69	3399	239414
70	3451	239581
71	3493	239122
72	3530	238307
73	3577	238138
74	3636	238822
75	3683	238666
76	3727	238315
77	3776	238310
78	3810	237339
79	3858	237294
80	3899	236829
81	3950	236921
82	4006	237346
83	4045	236730
84	4090	236526
85	4132	236116
86	4170	235540
87	4236	236457
88	4294	236950
89	4346	237127
90	4398	237292
91	4461	237995
92	4520	238519
93	4583	239244
94	4618	238469
95	4665	238313
96	4711	238135
97	4779	239094
98	4846	239905
99	4899	240060
100	4949	240064
101	4994	239850
102	5044	239854
103	5082	239281
104	5130	239188
105	5192	239731
106	5260	240571
107	5319	240959
108	5367	240840
109	5411	240563
110	5466	240760
111	5514	240667
112	5564	240662
113	5615	240687
114	5659	240396
115	5708	240343
116	5762	240489
117	5822	240893
118	5863	240507
119	5918	240696
120	5968	240668
121	6024	240867
122	6072	240794
123	6142	241535
124	6208	242127
125	6250	241765
126	6288	241276
127	6326	240820
128	6385	241128
129	6442	241347
130	6501	241657
131	6558	241884
132	6617	242148
133	6706	243546
134	6777	244257
135	6841	244688
136	6909	245249
137	6975	245769
138	7026	245739
139	7066	245311
140	7125	245557
141	7176	245500
142	7228	245526
143	7300	246201
144	7339	245758
145	7392	245758
146	7450	245974
147	7503	245996
148	7564	246282
149	7641	247074
150	7707	247493
151	7773	247932
152	7825	247917
153	7874	247802
154	7941	248227
155	8016	248908
156	8051	248362
157	8085	247798
158	8134	247674
159	8207	248290
160	8273	248679
161	8335	248930
162	8386	248878
163	8443	248974
164	8525	249818
165	8590	250146
166	8638	250001
167	8691	249986
168	8745	249997
169	8798	249971
170	8853	250014
171	8908	250063
172	8972	250338
173	9038	250692
174	9107	251099
175	9175	251482
176	9213	251060
177	9266	251016
178	9323	251104
179	9377	251114
180	9442	251406
181	9495	251370
182	9564	251753
183	9624	251908
184	9675	251811
185	9754	252467
186	9803	252317
187	9870	252634
188	9917	252439
189	9981	252691
190	10045	252916
191	10087	252612
192	10166	253212
193	10226	253342
194	10270	253080
195	10333	253267
196	10376	252988
197	10424	252829
198	10475	252737
199	10540	252971
200	10599	253060
201	10654	253065
202	10714	253180
203	10779	253427
204	10832	253380
205	10905	253785
206	10984	254339
207	11047	254518
208	11115	254815
209	11172	254832
210	11236	255040
211	11295	255109
212	11345	254982
213	11394	254843
214	11453	254904
215	11507	254871
216	11564	254889
217	11634	255211
218	11729	256071
219	11790	256180
220	11847	256186
221	11922	256597
222	11989	256837
223	12038	256682
224	12092	256631
225	12145	256569
226	12207	256670
227	12268	256775
228	12323	256754
229	12372	256602
230	12442	256876
231	12491	256729
232	12568	257139
233	12619	257037
234	12672	256955
235	12726	256896
236	12784	256924
237	12837	256851
238	12884	256672
239	12941	256668
240	13010	256919
241	13057	256732
242	13113	256712
243	13198	257256
244	13258	257319
245	13310	257230
246	13364	257162
247	13416	257075
248	13459	256818
249	13503	256558
250	13560	256573
251	13578	255844
252	13632	255783
253	13691	255817
254	13749	255851
255	13830	256293
256	13879	256146
257	13957	256536
258	14019	256625
259	14061	256347
260	14106	256124
261	14148	255853
262	14225	256220
263	14272	256032
264	14322	255918
265	14375	255846
266	14432	255831
267	14484	255752
268	14547	255853
269	14590	255611
270	14658	255798
271	14726	255979
272	14777	255865
273	14827	255743
274	14875	255587
275	14923	255432
276	14979	255403
277	15038	255442
278	15094	255419
279	15155	255482
280	15172	254794
281	15224	254721
282	15277	254641
283	15329	254554
284	15345	253881
285	15386	253605
286	15428	253359
287	15478	253242
288	15559	253637
289	15626	253803
290	15685	253826
291	15763	254154
292	15815	254067
293	15881	254215
294	15935	254157
295	16006	254367
296	16059	254308
297	16105	254125
298	16157	254036
299	16217	254067
300	16275	254085
301	16342	254225
302	16411	254409
303	16479	254562
304	16544	254669
305	16590	254498
306	16633	254270
307	16673	253995
308	16712	253719
309	16765	253650
310	16825	253675
311	16879	253631
312	16947	253778
313	17034	254210
314	17090	254187
315	17111	253632
316	17177	253766
317	17251	254004
318	17320	254156
319	17374	254101
320	17426	254012
321	17497	254197
322	17548	254096
323	17618	254274
324	17689	254450
325	17721	254084
326	17779	254071
327	17836	254067
328	17888	253972
329	17966	254258
330	18017	254154
331	18084	254276
332	18168	254630
333	18225	254611
334	18274	254484
335	18340	254587
336	18400	254600
337	18467	254726
338	18536	254862
339	18596	254878
340	18672	255119
341	18723	255011
342	18789	255112
343	18853	255177
344	18872	254636
